Subj,StimType,ConvDiv,Mfov,MonoReg,BinoReg,NumFade,TimePt,PropFade
S1,AR,div,40,4.5,35.5,1497,1497,1
S1,AR,div,40,9,31,1500,1500,1
S1,AR,div,40,4.5,35.5,1500,1500,1
S1,AR,div,40,4.5,35.5,1500,1500,1
S1,AR,div,40,4.5,35.5,1143,1449,0.788819875776398
S1,AR,div,40,9,31,1500,1500,1
S1,AR,div,40,9,31,1500,1500,1
S1,AR,div,40,4.5,35.5,1500,1500,1
S1,AR,div,40,9,31,1423,1423,1
S1,AR,div,40,9,31,1500,1500,1
S2,oval,conv,30,4.5,25.5,0,1500,0
S2,oval,conv,30,9,21,231,1480,0.156081081081081
S2,oval,conv,40,4.5,35.5,0,1500,0
S2,oval,conv,40,9,31,0,1500,0
S2,oval,div,30,9,21,1500,1500,1
S2,oval,div,30,4.5,25.5,0,1500,0
S2,oval,div,40,9,31,1500,1500,1
S2,oval,div,40,4.5,35.5,34,1442,0.0235783633841886
S2,rect,conv,30,4.5,25.5,0,1500,0
S2,rect,conv,30,9,21,1500,1500,1
S2,rect,conv,40,4.5,35.5,0,1500,0
S2,rect,conv,40,9,31,0,1445,0
S2,rect,div,30,4.5,25.5,1365,1365,1
S2,rect,div,30,9,21,1500,1500,1
S2,rect,div,40,9,31,1500,1500,1
S2,rect,div,40,4.5,35.5,0,1470,0
S2,AR,conv,30,9,21,1491,1491,1
S2,AR,conv,30,4.5,25.5,0,1500,0
S2,AR,conv,30,9,21,1288,1498,0.85981308411215
S2,AR,conv,30,9,21,1500,1500,1
S2,AR,conv,30,4.5,25.5,0,1500,0
S2,AR,conv,30,4.5,25.5,0,1500,0
S2,AR,conv,30,9,21,1181,1491,0.792085848423877
S2,AR,conv,30,4.5,25.5,0,1500,0
S2,AR,conv,30,4.5,25.5,162,1498,0.108144192256342
S2,AR,conv,30,9,21,1500,1500,1
S2,AR,conv,40,4.5,35.5,0,1500,0
S2,AR,conv,40,4.5,35.5,0,1500,0
S2,AR,conv,40,9,31,0,1383,0
S2,AR,conv,40,4.5,35.5,1400,1499,0.933955970647098
S2,AR,conv,40,9,31,1500,1500,1
S2,AR,conv,40,4.5,35.5,0,1500,0
S2,AR,conv,40,4.5,35.5,0,1500,0
S2,AR,conv,40,9,31,859,1460,0.588356164383562
S2,AR,conv,40,9,31,1500,1500,1
S2,AR,div,30,4.5,25.5,1500,1500,1
S2,AR,div,30,9,21,1500,1500,1
S2,AR,div,30,9,21,1500,1500,1
S2,AR,div,30,9,21,1376,1489,0.924110141034251
S2,AR,div,30,4.5,25.5,1500,1500,1
S2,AR,div,30,4.5,25.5,1492,1492,1
S2,AR,div,30,4.5,25.5,1500,1500,1
S2,AR,div,30,9,21,1500,1500,1
S2,AR,div,30,9,21,1500,1500,1
S2,AR,div,40,4.5,35.5,0,1500,0
S2,AR,div,40,4.5,35.5,1500,1500,1
S2,AR,div,40,4.5,35.5,0,1497,0
S2,AR,div,40,9,31,1500,1500,1
S2,AR,div,40,9,31,1500,1500,1
S2,AR,div,40,4.5,35.5,1399,1399,1
S2,AR,div,40,9,31,1382,1453,0.951135581555403
S2,AR,div,40,9,31,1500,1500,1
S3,oval,conv,30,4.5,25.5,1482,1482,1
S3,oval,conv,30,9,21,1387,1387,1
S3,oval,conv,40,4.5,35.5,0,1458,0
S3,oval,conv,40,9,31,1500,1500,1
S3,oval,div,30,9,21,1500,1500,1
S3,oval,div,30,4.5,25.5,1500,1500,1
S3,oval,div,40,9,31,0,1500,0
S3,oval,div,40,4.5,35.5,0,1500,0
S3,rect,conv,30,4.5,25.5,0,1453,0
S3,rect,conv,30,9,21,0,1500,0
S3,rect,conv,40,4.5,35.5,0,1495,0
S3,rect,conv,40,9,31,176,1499,0.117411607738492
S3,rect,div,30,4.5,25.5,0,1500,0
S3,rect,div,30,9,21,1500,1500,1
S3,rect,div,40,9,31,0,1500,0
S3,rect,div,40,4.5,35.5,0,1500,0
S3,AR,conv,30,9,21,1500,1500,1
S3,AR,conv,30,4.5,25.5,1500,1500,1
S3,AR,conv,30,9,21,1500,1500,1
S3,AR,conv,30,9,21,1500,1500,1
S3,AR,conv,30,4.5,25.5,1500,1500,1
S3,AR,conv,30,4.5,25.5,1498,1500,0.998666666666667
S3,AR,conv,30,9,21,1500,1500,1
S3,AR,conv,30,4.5,25.5,1500,1500,1
S3,AR,conv,30,4.5,25.5,1500,1500,1
S3,AR,conv,30,9,21,1500,1500,1
S3,AR,conv,40,4.5,35.5,1500,1500,1
S3,AR,conv,40,9,31,0,1500,0
S3,AR,conv,40,4.5,35.5,1427,1427,1
S3,AR,conv,40,9,31,1500,1500,1
S3,AR,conv,40,4.5,35.5,1500,1500,1
S3,AR,conv,40,4.5,35.5,1500,1500,1
S3,AR,conv,40,9,31,1500,1500,1
S3,AR,conv,40,9,31,0,1500,0
S3,AR,conv,40,9,31,1500,1500,1
S3,AR,div,30,4.5,25.5,1500,1500,1
S3,AR,div,30,9,21,1500,1500,1
S3,AR,div,30,9,21,1500,1500,1
S3,AR,div,30,9,21,1500,1500,1
S3,AR,div,30,4.5,25.5,1500,1500,1
S3,AR,div,30,4.5,25.5,1500,1500,1
S3,AR,div,30,4.5,25.5,1500,1500,1
S3,AR,div,30,9,21,1500,1500,1
S3,AR,div,30,9,21,1500,1500,1
S3,AR,div,40,4.5,35.5,0,1500,0
S3,AR,div,40,9,31,0,1500,0
S3,AR,div,40,4.5,35.5,0,1500,0
S3,AR,div,40,4.5,35.5,1500,1500,1
